ti,repo,measurement_type,data_type,cadence,status,exp,sum,jobs,%Failure
01-APR-2022 15,GitLabs,Act-Ind,k-ind,3:00:00,Done,84,87,2,0.00
01-AUG-2022 00,GitLabs,Act-Ind,k-ind,3:00:00,Done,672,708,16,0.00
01-AUG-2022 01,GitLabs,Act-Ind,k-ind,3:00:00,Done,882,927,21,0.00
01-AUG-2022 02,GitLabs,Act-Ind,k-ind,3:00:00,Done,1092,1149,26,0.00
01-AUG-2022 03,GitLabs,Act-Ind,k-ind,3:00:00,Done,1344,1416,32,0.00
01-AUG-2022 04,GitLabs,Act-Ind,k-ind,3:00:00,Done,882,922,21,0.00
01-AUG-2022 05,GitLabs,Act-Ind,k-ind,3:00:00,Done,1176,1242,28,0.00
01-AUG-2022 06,GitLabs,Act-Ind,k-ind,3:00:00,Done,1092,1152,26,0.00
01-AUG-2022 07,GitLabs,Act-Ind,k-ind,3:00:00,Done,1134,1185,27,0.00
01-AUG-2022 08,GitLabs,Act-Ind,k-ind,3:00:00,Done,882,910,21,0.00
01-AUG-2022 09,GitLabs,Act-Ind,k-ind,3:00:00,Done,1386,1452,33,0.00
01-AUG-2022 10,GitLabs,Act-Ind,k-ind,3:00:00,Done,840,883,20,0.00
01-AUG-2022 11,GitLabs,Act-Ind,k-ind,3:00:00,Done,1218,1291,29,0.00
01-AUG-2022 12,GitLabs,Act-Ind,k-ind,3:00:00,Done,1218,1283,29,0.00
01-AUG-2022 13,GitLabs,Act-Ind,k-ind,3:00:00,Done,1344,1397,32,0.00
01-AUG-2022 14,GitLabs,Act-Ind,k-ind,3:00:00,Done,1302,1370,31,0.00
01-AUG-2022 15,GitLabs,Act-Ind,k-ind,3:00:00,Done,1050,1111,25,0.00
01-AUG-2022 16,GitLabs,Act-Ind,k-ind,3:00:00,Done,1092,1146,26,0.00
01-AUG-2022 17,GitLabs,Act-Ind,k-ind,3:00:00,Done,1008,1053,24,0.00
01-AUG-2022 18,GitLabs,Act-Ind,k-ind,3:00:00,Done,966,1029,23,0.00
01-AUG-2022 19,GitLabs,Act-Ind,k-ind,3:00:00,Done,1218,1283,29,0.00
01-AUG-2022 20,GitLabs,Act-Ind,k-ind,3:00:00,Done,966,1009,23,0.00
01-AUG-2022 21,GitLabs,Act-Ind,k-ind,3:00:00,Done,1176,1239,28,0.00
01-AUG-2022 22,GitLabs,Act-Ind,k-ind,3:00:00,Done,1008,1044,24,0.00
01-AUG-2022 23,GitLabs,Act-Ind,k-ind,3:00:00,Done,1134,1190,27,0.00
01-DEC-2022 02,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
01-DEC-2022 05,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
01-DEC-2022 08,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
01-DEC-2022 11,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
01-DEC-2022 14,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
01-DEC-2022 17,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
01-DEC-2022 20,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
01-DEC-2022 23,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
01-JAN-2022 00,GitLabs,Act-Ind,k-ind,3:00:00,Done,1680,1762,40,0.00
01-JAN-2022 01,GitLabs,Act-Ind,k-ind,3:00:00,Done,966,1023,23,0.00
01-JAN-2022 04,GitLabs,Act-Ind,k-ind,3:00:00,Done,210,223,5,0.00
01-JAN-2022 07,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,44,1,0.00
01-JAN-2022 13,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,45,1,0.00
01-JAN-2023 01,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,44,1,0.00
01-JAN-2023 04,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
01-JAN-2023 14,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,44,1,0.00
01-JAN-2023 23,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
01-JUL-2022 17,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
01-JUN-2022 00,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
01-JUN-2022 18,GitLabs,Act-Ind,k-ind,3:00:00,Done,84,87,2,0.00
01-MAR-2022 12,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
01-NOV-2022 01,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
01-NOV-2022 04,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
01-NOV-2022 07,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
01-NOV-2022 10,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
01-NOV-2022 13,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
01-NOV-2022 16,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
01-NOV-2022 19,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
01-NOV-2022 22,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
01-SEP-2022 00,GitLabs,Act-Ind,k-ind,3:00:00,Error,1890,-45,45,1.00
01-SEP-2022 01,GitLabs,Act-Ind,k-ind,3:00:00,Error,2142,-51,51,1.00
01-SEP-2022 02,GitLabs,Act-Ind,k-ind,3:00:00,Error,1848,-44,44,1.00
01-SEP-2022 03,GitLabs,Act-Ind,k-ind,3:00:00,Error,2310,-55,55,1.00
01-SEP-2022 04,GitLabs,Act-Ind,k-ind,3:00:00,Error,2016,-48,48,1.00
01-SEP-2022 05,GitLabs,Act-Ind,k-ind,3:00:00,Error,1764,-42,42,1.00
01-SEP-2022 06,GitLabs,Act-Ind,k-ind,3:00:00,Error,1932,-46,46,1.00
01-SEP-2022 07,GitLabs,Act-Ind,k-ind,3:00:00,Error,1890,-45,45,1.00
01-SEP-2022 08,GitLabs,Act-Ind,k-ind,3:00:00,Error,2058,-49,49,1.00
01-SEP-2022 09,GitLabs,Act-Ind,k-ind,3:00:00,Error,1974,-47,47,1.00
01-SEP-2022 10,GitLabs,Act-Ind,k-ind,3:00:00,Error,2100,-50,50,1.00
01-SEP-2022 11,GitLabs,Act-Ind,k-ind,3:00:00,Error,1890,-45,45,1.00
01-SEP-2022 12,GitLabs,Act-Ind,k-ind,3:00:00,Error,1680,-40,40,1.00
01-SEP-2022 13,GitLabs,Act-Ind,k-ind,3:00:00,Error,1974,-47,47,1.00
01-SEP-2022 14,GitLabs,Act-Ind,k-ind,3:00:00,Error,1848,-44,44,1.00
01-SEP-2022 15,GitLabs,Act-Ind,k-ind,3:00:00,Error,2100,-50,50,1.00
01-SEP-2022 16,GitLabs,Act-Ind,k-ind,3:00:00,Error,1848,-44,44,1.00
01-SEP-2022 17,GitLabs,Act-Ind,k-ind,3:00:00,Error,2016,-48,48,1.00
01-SEP-2022 18,GitLabs,Act-Ind,k-ind,3:00:00,Error,1680,-40,40,1.00
01-SEP-2022 19,GitLabs,Act-Ind,k-ind,3:00:00,Error,1680,-40,40,1.00
01-SEP-2022 20,GitLabs,Act-Ind,k-ind,3:00:00,Error,2016,-48,48,1.00
01-SEP-2022 21,GitLabs,Act-Ind,k-ind,3:00:00,Error,1974,-47,47,1.00
01-SEP-2022 22,GitLabs,Act-Ind,k-ind,3:00:00,Error,1806,-43,43,1.00
01-SEP-2022 23,GitLabs,Act-Ind,k-ind,3:00:00,Error,2184,-52,52,1.00
02-AUG-2022 00,GitLabs,Act-Ind,k-ind,3:00:00,Done,1470,1539,35,0.00
02-AUG-2022 01,GitLabs,Act-Ind,k-ind,3:00:00,Done,966,1008,23,0.00
02-AUG-2022 02,GitLabs,Act-Ind,k-ind,3:00:00,Done,1008,1052,24,0.00
02-AUG-2022 03,GitLabs,Act-Ind,k-ind,3:00:00,Done,1092,1158,26,0.00
02-AUG-2022 04,GitLabs,Act-Ind,k-ind,3:00:00,Done,1050,1102,25,0.00
02-AUG-2022 05,GitLabs,Act-Ind,k-ind,3:00:00,Done,966,1015,23,0.00
02-AUG-2022 06,GitLabs,Act-Ind,k-ind,3:00:00,Done,1218,1291,29,0.00
02-AUG-2022 07,GitLabs,Act-Ind,k-ind,3:00:00,Done,1260,1325,30,0.00
02-AUG-2022 08,GitLabs,Act-Ind,k-ind,3:00:00,Done,1134,1185,27,0.00
02-AUG-2022 09,GitLabs,Act-Ind,k-ind,3:00:00,Done,1092,1134,26,0.00
02-AUG-2022 10,GitLabs,Act-Ind,k-ind,3:00:00,Done,882,928,21,0.00
02-AUG-2022 11,GitLabs,Act-Ind,k-ind,3:00:00,Done,1092,1146,26,0.00
02-AUG-2022 12,GitLabs,Act-Ind,k-ind,3:00:00,Done,924,969,22,0.00
02-AUG-2022 13,GitLabs,Act-Ind,k-ind,3:00:00,Done,1176,1225,28,0.00
02-AUG-2022 14,GitLabs,Act-Ind,k-ind,3:00:00,Done,1428,1497,34,0.00
02-AUG-2022 15,GitLabs,Act-Ind,k-ind,3:00:00,Done,1134,1185,27,0.00
02-AUG-2022 16,GitLabs,Act-Ind,k-ind,3:00:00,Done,1050,1096,25,0.00
02-AUG-2022 17,GitLabs,Act-Ind,k-ind,3:00:00,Done,756,784,18,0.00
02-AUG-2022 18,GitLabs,Act-Ind,k-ind,3:00:00,Done,1260,1324,30,0.00
02-AUG-2022 19,GitLabs,Act-Ind,k-ind,3:00:00,Done,966,1013,23,0.00
02-AUG-2022 20,GitLabs,Act-Ind,k-ind,3:00:00,Done,1008,1052,24,0.00
02-AUG-2022 21,GitLabs,Act-Ind,k-ind,3:00:00,Done,1260,1315,30,0.00
02-AUG-2022 22,GitLabs,Act-Ind,k-ind,3:00:00,Done,840,881,20,0.00
02-AUG-2022 23,GitLabs,Act-Ind,k-ind,3:00:00,Done,1176,1232,28,0.00
02-DEC-2021 17,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,63,1,0.00
02-DEC-2022 02,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
